,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
865,CHEMBL2031893,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,10.0,active,552.988,5.029600000000005,2.0,5.0,10.0,8.0
869,CHEMBL2030560,Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,10000.0,inactive,532.5700000000002,4.684620000000004,2.0,5.0,10000.0,5.0
870,CHEMBL170250,O=C(NCCO)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,94.0,active,532.5700000000002,4.456020000000003,1.0,6.0,94.0,7.026872146400302
871,CHEMBL2059164,O=C(NCCC1CCNCC1)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,100.0,active,488.01700000000034,3.3135400000000015,3.0,9.0,100.0,7.0
872,CHEMBL2059165,O=C(NCCC1CCCNC1)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,10.0,active,529.5260000000001,6.355840000000005,2.0,7.0,10.0,8.0
873,CHEMBL2059166,NCCC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,550.0,active,493.6150000000002,4.590320000000004,2.0,7.0,550.0,6.259637310505756
874,CHEMBL2030561,Nc1nc2ccc(C(=O)c3ccccc3)cc2n1CC1CCNCC1,10000.0,inactive,533.5580000000002,3.8510200000000028,1.0,7.0,10000.0,5.0
875,CHEMBL2059176,Nc1nc2ccc(C(=O)c3ccccc3)cc2n1CCC1CCNCC1,10000.0,inactive,546.5970000000002,4.695020000000004,1.0,6.0,10000.0,5.0
876,CHEMBL2059177,CN1CCC(CCn2c(N)nc3ccc(C(=O)c4ccccc4)cc32)CC1,10000.0,inactive,531.5820000000002,5.289620000000005,2.0,4.0,10000.0,5.0
877,CHEMBL2059353,Nc1nc2ccc(C(=O)c3ccccc3)cc2n1CC[C@@H]1CCCN1,10000.0,inactive,562.5960000000002,4.693220000000005,2.0,6.0,10000.0,5.0
878,CHEMBL2059361,CN1CCN(CCn2c(N)nc3ccc(C(=O)c4ccccc4)cc32)CC1,10000.0,inactive,608.6680000000002,6.351620000000006,2.0,5.0,10000.0,5.0
879,CHEMBL2063926,CSc1ccccc1Nc1nc(N2CCN(C3CCNCC3)CC2)nc2c(NCC3CC3)ncnc12,10000.0,inactive,572.6350000000001,5.562020000000005,2.0,5.0,10000.0,5.0
881,CHEMBL2070045,COc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2c1.Cl,820.0,active,552.988,5.029600000000005,2.0,5.0,820.0,6.086186147616283
